datetime_utc,temp,humidity,pressure,wind_speed,wind_deg,clouds,rain_3h,snow_3h,rain_1h_est,snow_1h_est
2025-10-04 18:00:00+00:00,25.3,32.0,998.0,6.84,199.0,13.0,,,0.0,0.0
2025-10-04 19:00:00+00:00,25.433333333333334,30.666666666666668,997.6666666666666,8.416666666666666,200.66666666666666,19.0,,,0.0,0.0
2025-10-04 20:00:00+00:00,25.566666666666666,29.333333333333332,997.3333333333334,9.993333333333332,202.33333333333334,25.0,,,0.0,0.0
2025-10-04 21:00:00+00:00,25.7,28.0,997.0,11.57,204.0,31.0,,,0.0,0.0
2025-10-04 22:00:00+00:00,24.343333333333334,26.666666666666668,997.3333333333334,10.416666666666666,215.33333333333334,36.0,,,0.0,0.0
2025-10-04 23:00:00+00:00,22.986666666666665,25.333333333333332,997.6666666666666,9.263333333333332,226.66666666666666,41.0,,,0.0,0.0
2025-10-05 00:00:00+00:00,21.63,24.0,998.0,8.11,238.0,46.0,,,0.0,0.0
2025-10-05 01:00:00+00:00,19.243333333333332,22.0,999.6666666666666,7.143333333333333,237.0,33.33333333333333,,,0.0,0.0
2025-10-05 02:00:00+00:00,16.85666666666667,20.0,1001.3333333333334,6.176666666666666,236.0,20.666666666666664,,,0.0,0.0
2025-10-05 03:00:00+00:00,14.47,18.0,1003.0,5.21,235.0,8.0,,,0.0,0.0
2025-10-05 04:00:00+00:00,13.426666666666668,19.666666666666668,1003.6666666666666,4.493333333333333,201.0,6.666666666666667,,,0.0,0.0
2025-10-05 05:00:00+00:00,12.383333333333333,21.333333333333332,1004.3333333333334,3.776666666666667,167.0,5.333333333333334,,,0.0,0.0
2025-10-05 06:00:00+00:00,11.34,23.0,1005.0,3.06,133.0,4.0,,,0.0,0.0
2025-10-05 07:00:00+00:00,12.523333333333333,24.0,1005.3333333333334,2.9033333333333333,161.66666666666666,2.666666666666667,,,0.0,0.0
2025-10-05 08:00:00+00:00,13.706666666666667,25.0,1005.6666666666666,2.7466666666666666,190.33333333333331,1.3333333333333335,,,0.0,0.0
2025-10-05 09:00:00+00:00,14.89,26.0,1006.0,2.59,219.0,0.0,,,0.0,0.0
2025-10-05 10:00:00+00:00,14.58,26.666666666666668,1006.3333333333334,2.2366666666666664,224.66666666666666,0.3333333333333333,,,0.0,0.0
2025-10-05 11:00:00+00:00,14.270000000000001,27.333333333333332,1006.6666666666666,1.8833333333333333,230.33333333333334,0.6666666666666666,,,0.0,0.0
2025-10-05 12:00:00+00:00,13.96,28.0,1007.0,1.53,236.0,1.0,,,0.0,0.0
2025-10-05 13:00:00+00:00,14.146666666666667,27.666666666666668,1008.3333333333334,1.7433333333333334,171.0,1.3333333333333333,,,0.0,0.0
2025-10-05 14:00:00+00:00,14.333333333333334,27.333333333333332,1009.6666666666666,1.9566666666666666,106.0,1.6666666666666665,,,0.0,0.0
2025-10-05 15:00:00+00:00,14.52,27.0,1011.0,2.17,41.0,2.0,,,0.0,0.0
2025-10-05 16:00:00+00:00,15.729999999999999,26.333333333333332,1011.0,2.5233333333333334,53.66666666666667,2.3333333333333335,,,0.0,0.0
2025-10-05 17:00:00+00:00,16.939999999999998,25.666666666666668,1011.0,2.8766666666666665,66.33333333333334,2.6666666666666665,,,0.0,0.0
2025-10-05 18:00:00+00:00,18.15,25.0,1011.0,3.23,79.0,3.0,,,0.0,0.0
2025-10-05 19:00:00+00:00,18.806666666666665,25.0,1010.3333333333334,3.8033333333333337,83.66666666666667,3.3333333333333335,,,0.0,0.0
2025-10-05 20:00:00+00:00,19.463333333333335,25.0,1009.6666666666666,4.376666666666667,88.33333333333333,3.6666666666666665,,,0.0,0.0
2025-10-05 21:00:00+00:00,20.12,25.0,1009.0,4.95,93.0,4.0,,,0.0,0.0
2025-10-05 22:00:00+00:00,19.096666666666668,29.0,1010.0,5.633333333333334,81.66666666666667,19.333333333333336,,,0.0,0.0
2025-10-05 23:00:00+00:00,18.073333333333334,33.0,1011.0,6.316666666666666,70.33333333333334,34.66666666666667,,,0.0,0.0
2025-10-06 00:00:00+00:00,17.05,37.0,1012.0,7.0,59.0,50.0,,,0.0,0.0
2025-10-06 01:00:00+00:00,14.666666666666668,50.66666666666667,1014.3333333333334,6.5,156.66666666666669,66.66666666666666,,,0.0,0.0
2025-10-06 02:00:00+00:00,12.283333333333335,64.33333333333334,1016.6666666666666,6.0,254.33333333333334,83.33333333333333,,,0.0,0.0
2025-10-06 03:00:00+00:00,9.9,78.0,1019.0,5.5,352.0,100.0,3.65,,1.2166666666666666,0.0
2025-10-06 04:00:00+00:00,9.773333333333333,75.33333333333333,1019.3333333333334,4.87,252.0,100.0,2.5533333333333332,,0.851111111111111,0.0
2025-10-06 05:00:00+00:00,9.646666666666667,72.66666666666667,1019.6666666666666,4.24,152.0,100.0,1.4566666666666666,,0.4855555555555555,0.0
2025-10-06 06:00:00+00:00,9.52,70.0,1020.0,3.61,52.0,100.0,0.36,,0.12,0.0
2025-10-06 07:00:00+00:00,9.523333333333333,68.33333333333333,1019.6666666666666,3.2733333333333334,67.66666666666667,100.0,0.29666666666666663,,0.09888888888888887,0.0
2025-10-06 08:00:00+00:00,9.526666666666666,66.66666666666667,1019.3333333333334,2.9366666666666665,83.33333333333333,100.0,0.23333333333333334,,0.07777777777777778,0.0
2025-10-06 09:00:00+00:00,9.53,65.0,1019.0,2.6,99.0,100.0,0.17,,0.05666666666666667,0.0
2025-10-06 10:00:00+00:00,9.593333333333334,64.33333333333333,1018.6666666666666,2.63,99.0,99.0,0.17317460317460318,,0.05772486772486773,0.0
